title,avg_rating,rating_count,genres
21 and Over (2013),3.625,4,Comedy
22 Jump Street (2014),3.6842105263157894,19,Action|Comedy|Crime
24 Hour Party People (2002),3.5714285714285716,7,Comedy|Drama|Musical
25th Hour (2002),3.840909090909091,22,Crime|Drama
27 Dresses (2008),3.3,20,Comedy|Romance
28 Days (2000),3.3,25,Drama
28 Days Later (2002),3.9741379310344827,58,Action|Horror|Sci-Fi
28 Up (1985),4.0,3,Documentary
28 Weeks Later (2007),3.5952380952380953,21,Horror|Sci-Fi|Thriller
3 Days to Kill (2014),1.0,2,Action|Crime|Drama
3 Extremes (Three... Extremes) (Saam gaang yi) (2004),3.3333333333333335,3,Horror
3 Idiots (2009),4.75,2,Comedy|Drama|Romance
3 Ninjas (1992),2.0833333333333335,6,Action|Children|Comedy
3 Ninjas Kick Back (1994),1.25,2,Action|Children|Comedy
3 Ninjas Knuckle Up (1995),0.5,1,Action|Children
3 Ninjas: High Noon On Mega Mountain (1998),4.0,1,Action|Children|Comedy
3 Women (Three Women) (1977),4.166666666666667,3,Drama
3 dev adam (Three Giant Men) (1973) ,0.5,1,Action|Adventure|Sci-Fi
3-Iron (Bin-jip) (2004),4.5,3,Drama|Romance
30 Days of Night (2007),3.1818181818181817,11,Horror|Thriller
30 Minutes or Less (2011),2.6666666666666665,6,Action|Comedy|Crime
300 (2007),3.68125,80,Action|Fantasy|War|IMAX
3000 Miles to Graceland (2001),2.7142857142857144,7,Action|Thriller
300: Rise of an Empire (2014),2.125,4,Action|Drama|War|IMAX
31 (2016),3.5,1,Horror
35 Up (1991),4.0,3,Documentary
"39 Steps, The (1935)",4.045454545454546,11,Drama|Mystery|Thriller
3:10 to Yuma (1957),4.0,1,Action|Adventure|Drama|Thriller|Western
3:10 to Yuma (2007),4.06,25,Action|Crime|Drama|Western
4 Little Girls (1997),4.25,2,Documentary
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",4.0,3,Drama
40 Days and 40 Nights (2002),3.0,18,Comedy|Romance
"40-Year-Old Virgin, The (2005)",3.5472972972972974,74,Comedy|Romance
"400 Blows, The (Les quatre cents coups) (1959)",4.0,12,Crime|Drama
42 (2013),4.0,1,Drama
42 Up (1998),4.0,2,Documentary
42nd Street (1933),4.0,3,Drama|Musical|Romance
47 Ronin (2013),2.642857142857143,7,Action|Adventure|Fantasy
48 Hrs. (1982),3.590909090909091,11,Action|Comedy|Crime|Drama
49 Up (2005),4.0,2,Documentary
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),3.5,3,Animation|Drama|Romance
5 to 7 (2014),2.5,1,Comedy|Drama|Romance
"5,000 Fingers of Dr. T, The (1953)",4.0,2,Children|Fantasy|Musical
50 First Dates (2004),3.5531914893617023,47,Comedy|Romance
50/50 (2011),3.6315789473684212,19,Comedy|Drama
52 Pick-Up (1986),3.6666666666666665,3,Action|Mystery|Thriller
54 (1998),2.0,5,Drama
6 Days to Air: The Making of South Park (2011),4.0,1,Documentary
61* (2001),5.0,1,Drama
"6th Day, The (2000)",2.8,20,Action|Sci-Fi|Thriller
"6th Man, The (Sixth Man, The) (1997)",1.5,2,Comedy
7 Days in Hell (2015),4.0,2,Comedy
7 Faces of Dr. Lao (1964),5.0,1,Fantasy|Mystery|Western
"7th Voyage of Sinbad, The (1958)",4.4,5,Action|Adventure|Fantasy
8 1/2 (8½) (1963),4.071428571428571,14,Drama|Fantasy
8 Heads in a Duffel Bag (1997),3.0,4,Comedy
8 Mile (2002),3.292682926829268,41,Drama
8 Seconds (1994),3.0,2,Drama
8 Women (2002),3.8333333333333335,3,Comedy|Crime|Musical|Mystery
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),3.3333333333333335,3,Comedy
800 Bullets (800 Balas) (2002),2.5,1,Comedy|Crime|Drama|Western
84 Charing Cross Road (1987),4.5,3,Drama|Romance
8MM (1999),2.9444444444444446,18,Drama|Mystery|Thriller
9 (2009),3.642857142857143,14,Adventure|Animation|Sci-Fi
9 1/2 Weeks (Nine 1/2 Weeks) (1986),2.7,10,Drama|Romance
9/11 (2002),5.0,1,Documentary
96 Minutes (2011) ,2.5,1,Drama|Thriller
964 Pinocchio (1991),1.0,1,Horror|Sci-Fi
99 francs (2007),4.0,1,Comedy
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),3.5,1,Documentary
A Bad Moms Christmas (2017),3.5,1,Comedy
A Christmas Story Live! (2017),2.0,1,(no genres listed)
A Cosmic Christmas (1977),4.0,1,(no genres listed)
A Detective Story (2003),5.0,1,Animation|Sci-Fi
A Dog's Purpose (2017),4.5,1,Comedy|Drama
A Flintstones Christmas Carol (1994),5.0,1,Animation|Children|Comedy
A German Life (2016),3.0,1,Documentary
A Home at the End of the World (2004),3.5,1,Drama|Romance
A Man Called Blade (1977),3.0,1,Action|Drama|Thriller|Western
A Man from Boulevard des Capucines (1987),4.0,1,Comedy|Romance|Western
A Merry Friggin' Christmas (2014),2.0,1,Comedy
A Midsummer Night's Dream (2016),4.0,1,(no genres listed)
A Million Ways to Die in the West (2014),2.9583333333333335,12,Comedy|Western
A Most Wanted Man (2014),4.5,1,Thriller
A Perfect Day (2015),5.0,1,Comedy|Drama
A Pigeon Sat on a Branch Reflecting on Existence (2014),4.0,2,Comedy|Drama
A Plasticine Crow (1981),5.0,1,Animation
A Quiet Place (2018),2.75,4,Drama|Horror|Thriller
A Silent Voice (2016),4.0,2,Animation|Drama|Romance
A Story of Children and Film (2013),3.5,1,Documentary
A Street Cat Named Bob (2016),3.5,1,Comedy|Drama
A Very Murray Christmas (2015),2.5,1,Comedy
A Walk in the Woods (2015),3.5,1,Adventure|Comedy|Drama
A Wrinkle in Time (2018),3.0,1,Adventure|Children|Fantasy|Sci-Fi
"A-Team, The (2010)",3.1470588235294117,17,Action|Comedy|Thriller
A.I. Artificial Intelligence (2001),3.3392857142857144,56,Adventure|Drama|Sci-Fi
"ABCs of Death, The (2012)",3.5,1,Horror
ARQ (2016),4.5,1,Sci-Fi|Thriller
AVP: Alien vs. Predator (2004),2.823529411764706,17,Action|Horror|Sci-Fi|Thriller
AVPR: Aliens vs. Predator - Requiem (2007),2.5833333333333335,6,Action|Horror|Sci-Fi
"Abandoned, The (2006)",2.0,1,Horror|Mystery|Thriller
Abbott and Costello Meet Frankenstein (1948),3.75,4,Comedy|Horror
Abduction (2011),3.5,1,Action|Drama|Mystery|Thriller
"Abominable Dr. Phibes, The (1971)",3.8333333333333335,3,Horror|Mystery
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",4.0,1,Horror|Sci-Fi
About Adam (2000),3.75,2,Comedy
About Last Night (2014),2.25,2,Comedy|Romance
About Last Night... (1986),3.0,9,Comedy|Drama|Romance
About Schmidt (2002),3.173076923076923,26,Comedy|Drama
About Time (2013),3.933333333333333,15,Drama|Fantasy|Romance
About a Boy (2002),3.715909090909091,44,Comedy|Drama|Romance
Above the Law (1988),2.5,2,Action|Crime|Drama
Above the Rim (1994),2.0,1,Crime|Drama
Abraham Lincoln: Vampire Hunter (2012),2.75,6,Action|Fantasy|Horror|Thriller
Absence of Malice (1981),3.25,2,Drama|Romance
"Absent-Minded Professor, The (1961)",3.388888888888889,9,Children|Comedy|Fantasy
Absentia (2011),3.5,1,Horror
Absolute Power (1997),2.6666666666666665,12,Mystery|Thriller
Absolutely Anything (2015),3.0,1,Comedy|Sci-Fi
"Abyss, The (1989)",3.475806451612903,62,Action|Adventure|Sci-Fi|Thriller
Accepted (2006),2.9285714285714284,14,Comedy
"Accidental Spy, The (Dak miu mai shing) (2001)",2.5,1,Action|Comedy|Thriller
"Accidental Tourist, The (1988)",3.6,5,Comedy|Drama|Romance
"Accused, The (1988)",3.7,5,Drama
Ace Ventura: Pet Detective (1994),3.040372670807453,161,Comedy
Ace Ventura: When Nature Calls (1995),2.727272727272727,88,Comedy
"Ace in the Hole (Big Carnival, The) (1951)",3.0,1,Drama
Aces: Iron Eagle III (1992),2.0,3,Action
"Acid House, The (1998)",3.5,1,Comedy|Drama
Across the Hall (2009),2.0,1,Thriller
Across the Universe (2007),4.045454545454546,11,Drama|Fantasy|Musical|Romance
"Act of Killing, The (2012)",5.0,1,Documentary
Act of Valor (2012),3.75,2,Action|Thriller|War
Action Jackson (1988),1.6666666666666667,3,Action|Comedy|Crime|Thriller
Adam and Eve (National Lampoon's Adam & Eve) (2005),2.5,1,Comedy|Drama|Romance
Adam's Apples (Adams æbler) (2005),4.166666666666667,3,Comedy|Drama
Adam's Rib (1949),4.75,4,Comedy|Romance
Adanggaman (2000),2.0,1,Drama
Adaptation (2002),3.9456521739130435,46,Comedy|Drama|Romance
Addams Family Reunion (1998),3.0,1,Children|Comedy|Fantasy
Addams Family Values (1993),3.1011904761904763,84,Children|Comedy|Fantasy
"Addams Family, The (1991)",3.289473684210526,38,Children|Comedy|Fantasy
Addicted to Love (1997),2.7,10,Comedy|Romance
"Addiction, The (1995)",1.5,2,Drama|Horror
"Adjustment Bureau, The (2011)",3.1666666666666665,21,Romance|Sci-Fi|Thriller
Admission (2013),3.0,4,Comedy|Romance
Adventureland (2009),3.3333333333333335,15,Comedy|Drama
Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),5.0,1,Crime|Mystery
Adventures in Babysitting (1987),3.325,20,Adventure|Comedy
Adventures in Plymptoons! (2011),3.5,1,Documentary
"Adventures of Baron Munchausen, The (1988)",3.769230769230769,13,Adventure|Comedy|Fantasy
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",3.5476190476190474,21,Adventure|Comedy|Sci-Fi
"Adventures of Elmo in Grouchland, The (1999)",1.5,2,Children|Comedy
"Adventures of Ford Fairlane, The (1990)",3.0,2,Action|Comedy
"Adventures of Huck Finn, The (1993)",2.5,3,Adventure|Children|Comedy|Drama
"Adventures of Ichabod and Mr. Toad, The (1949)",3.0,3,Animation|Children
"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)",3.0,1,Children|Musical|Mystery
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",3.857142857142857,7,Adventure|Children|Comedy|Drama
Adventures of Mowgli: The Kidnapping (1968),4.5,1,Adventure|Animation|Children
"Adventures of Pinocchio, The (1996)",3.3333333333333335,6,Adventure|Children
"Adventures of Pluto Nash, The (2002)",2.3333333333333335,3,Action|Adventure|Comedy|Sci-Fi
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5972222222222223,36,Comedy|Drama
"Adventures of Robin Hood, The (1938)",4.0,8,Action|Adventure|Romance
"Adventures of Rocky and Bullwinkle, The (2000)",2.2222222222222223,9,Adventure|Animation|Children|Comedy|Fantasy
"Adventures of Sebastian Cole, The (1998)",3.25,2,Comedy|Drama
"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",1.75,2,Action|Adventure|Children|Fantasy
"Adventures of Tintin, The (2011)",3.5,12,Action|Animation|Mystery|IMAX
Advise and Consent (1962),5.0,1,Drama
Aelita: The Queen of Mars (Aelita) (1924),4.5,1,Action|Adventure|Drama|Fantasy|Romance|Sci-Fi|Thriller
Aeon Flux (2005),2.761904761904762,21,Action|Sci-Fi
"Affair of Love, An (Liaison pornographique, Une) (1999)",4.75,2,Drama|Romance
"Affair of the Necklace, The (2001)",3.25,2,Drama
"Affair to Remember, An (1957)",3.9375,8,Drama|Romance
Afflicted (2013),3.5,1,Horror|Sci-Fi|Thriller
Affliction (1997),3.1666666666666665,3,Drama
Afonya (1975),4.0,1,Comedy|Drama|Romance
Africa: The Serengeti (1994),4.0,1,Documentary|IMAX
African Cats (2011),2.5,1,Adventure|Documentary
"African Queen, The (1951)",3.9705882352941178,34,Adventure|Comedy|Romance|War
Afro Samurai (2007),2.5,1,Action|Adventure|Animation|Drama|Fantasy
Afro Samurai: Resurrection (2009),2.5,1,Animation
After Earth (2013),1.0,2,Action|Adventure|Sci-Fi|IMAX
After Hours (1985),3.7857142857142856,7,Comedy|Thriller
After Life (Wandafuru raifu) (1998),4.25,2,Drama|Fantasy
After the Fox (Caccia alla volpe) (1966),2.75,2,Comedy|Crime
After the Sunset (2004),3.5833333333333335,6,Action|Adventure|Comedy|Crime|Thriller
After the Thin Man (1936),2.8333333333333335,3,Comedy|Crime|Mystery|Romance
After the Wedding (Efter brylluppet) (2006),3.5,1,Drama
Afterglow (1997),4.5,4,Drama|Romance
Against All Odds (1984),2.3333333333333335,3,Romance
Against the Ropes (2004),2.0,2,Comedy|Drama
"Age of Innocence, The (1993)",3.5,15,Drama
Agent Cody Banks (2003),1.9,5,Action|Adventure|Children|Fantasy
Agent Cody Banks 2: Destination London (2004),4.0,1,Action|Adventure|Children|Comedy
Agnes of God (1985),3.7,5,Drama|Mystery
"Agony and the Ecstasy, The (1965)",4.0,1,Drama
Agora (2009),4.0,1,Adventure|Drama|Romance
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",4.0,8,Adventure|Drama
Aileen: Life and Death of a Serial Killer (2003),3.5,2,Documentary
Air America (1990),2.8333333333333335,6,Action|Comedy
Air Bud (1997),2.375,4,Children|Comedy
Air Bud: Golden Receiver (1998),2.0,3,Children|Comedy
Air Force One (1997),3.3448275862068964,58,Action|Thriller
"Air I Breathe, The (2007)",3.0,1,Crime|Drama|Romance|Thriller
"Air Up There, The (1994)",2.3333333333333335,6,Comedy
Airborne (1993),2.5,1,Adventure|Comedy
Airheads (1994),2.7884615384615383,26,Comedy
Airplane II: The Sequel (1982),3.1842105263157894,19,Comedy
Airplane! (1980),3.8563218390804597,87,Comedy
Airport '77 (1977),3.25,4,Drama
Airport (1970),2.1666666666666665,3,Drama
Airport 1975 (1974),3.5,2,Action|Drama|Thriller
Akeelah and the Bee (2006),3.8,5,Drama
Akira (1988),3.7435897435897436,39,Action|Adventure|Animation|Sci-Fi
Akira Kurosawa's Dreams (Dreams) (1990),4.333333333333333,3,Drama|Fantasy
Aladdin (1992),3.7923497267759565,183,Adventure|Animation|Children|Comedy|Musical
Aladdin and the King of Thieves (1996),3.1538461538461537,13,Animation|Children|Comedy|Fantasy|Musical|Romance
"Alamo, The (1960)",3.375,4,Action|Drama|War|Western
Alan Partridge: Alpha Papa (2013),4.0,1,Comedy
Alaska (1996),3.5,2,Adventure|Children
Alaska: Spirit of the Wild (1997),4.0,1,Documentary|IMAX
Albatross (2011),2.5,1,Drama
Albino Alligator (1996),2.25,2,Crime|Thriller
Alesha Popovich and Tugarin the Dragon (2004),5.0,1,Animation|Comedy|Drama
Alex Cross (2012),1.5,1,Action|Crime|Mystery|Thriller
Alex and Emma (2003),2.0,1,Comedy|Drama|Romance
Alexander (2004),2.2,10,Action|Adventure|Drama|War
Alexander Nevsky (Aleksandr Nevskiy) (1938),4.0,2,Action|Drama|War
Alfie (1966),3.25,4,Comedy|Drama|Romance
Alfie (2004),2.3333333333333335,3,Comedy|Drama|Romance
Ali (2001),3.0,8,Drama
Ali G Indahouse (2002),3.0,3,Comedy
Ali Wong: Baby Cobra (2016),4.5,1,(no genres listed)
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),4.0,2,Drama|Romance
Alias Betty (Betty Fisher et autres histoires) (2001),2.0,1,Crime|Drama
Alice (1990),3.0,3,Comedy|Drama|Fantasy|Romance
Alice (2009),4.0,1,Action|Adventure|Fantasy
Alice (Neco z Alenky) (1988),3.75,2,Animation|Fantasy|Mystery
Alice Adams (1935),3.5,1,Comedy|Drama
Alice Doesn't Live Here Anymore (1974),4.166666666666667,3,Drama|Romance
Alice Through the Looking Glass (2016),2.0,4,Adventure|Children|Fantasy
Alice in Wonderland (1933),4.0,1,Adventure|Children|Fantasy
Alice in Wonderland (1951),3.375,40,Adventure|Animation|Children|Fantasy|Musical
Alice in Wonderland (2010),2.875,28,Adventure|Fantasy|IMAX
Alien (1979),3.969178082191781,146,Horror|Sci-Fi
Alien Contamination (1980),5.0,1,Action|Horror|Sci-Fi
Alien Nation (1988),3.1153846153846154,13,Crime|Drama|Sci-Fi|Thriller
Alien from L.A. (1988),3.5,1,Sci-Fi
Alien: Covenant (2017),2.8,5,Action|Horror|Sci-Fi|Thriller
Alien: Resurrection (1997),2.922222222222222,45,Action|Horror|Sci-Fi
Aliens (1986),3.9642857142857144,126,Action|Adventure|Horror|Sci-Fi
Alien³ (a.k.a. Alien 3) (1992),3.148936170212766,47,Action|Horror|Sci-Fi|Thriller
Alive (1993),3.1666666666666665,9,Drama
All About Eve (1950),4.229166666666667,24,Drama
All About Lily Chou-Chou (Riri Shushu no subete) (2001),3.0,1,Crime|Drama|Thriller
All About My Mother (Todo sobre mi madre) (1999),4.157894736842105,19,Drama
All About the Benjamins (2002),2.5,2,Action|Comedy|Crime
"All Dogs Christmas Carol, An (1998)",4.5,1,Animation|Children|Comedy|Musical
All Dogs Go to Heaven (1989),2.7,15,Animation|Children|Comedy|Drama|Fantasy
All Dogs Go to Heaven 2 (1996),3.1818181818181817,11,Adventure|Animation|Children|Fantasy|Musical|Romance
All Good Things (2010),3.75,2,Drama|Mystery|Thriller
All Is Lost (2013),3.625,4,Action|Adventure|Drama
All Over the Guy (2001),3.0,1,Comedy
All Quiet on the Western Front (1930),4.35,10,Action|Drama|War
All Roads Lead to Rome (2016),1.5,1,Comedy
All That Heaven Allows (1955),4.25,4,Drama|Romance
All That Jazz (1979),4.083333333333333,6,Drama|Fantasy|Musical
"All This, and Heaven Too (1940)",4.0,1,Drama|Romance
All Watched Over by Machines of Loving Grace (2011),4.25,2,Documentary
All Yours (2016),5.0,1,Comedy|Drama|Romance
All is Bright (2013),1.5,1,Comedy|Drama
All of Me (1984),2.5,2,Comedy|Fantasy
All or Nothing (2002),3.6666666666666665,3,Drama
All the Boys Love Mandy Lane (2006),3.0,1,Horror|Mystery|Thriller
All the King's Men (1949),4.25,4,Drama
All the King's Men (2006),3.0,3,Drama
All the President's Men (1976),4.018518518518518,27,Drama|Thriller
All the Pretty Horses (2000),2.5,2,Drama|Romance|Western
All the Real Girls (2003),4.25,2,Drama|Romance
All the Right Moves (1983),2.25,2,Drama|Romance
All the Vermeers in New York (1990),5.0,1,Comedy|Drama|Romance
All-Star Superman (2011),4.25,2,Action|Adventure|Animation|Sci-Fi
Allan Quatermain and the Lost City of Gold (1987),1.8333333333333333,6,Action|Adventure|Comedy
Allegro non troppo (1977),4.0,1,Animation|Comedy|Fantasy|Musical
Alles Inklusive (2014),3.5,1,Comedy|Drama
Alligator (1980),2.0,3,Action|Horror|Sci-Fi
"Allnighter, The (1987)",1.5,2,Comedy|Romance
Almost Famous (2000),3.8674698795180724,83,Drama
Almost Heroes (1998),2.0,2,Adventure|Comedy|Western
Almost an Angel (1990),2.5,1,Comedy
Aloha (2015),0.5,1,Comedy|Drama|Romance
Alone in the Dark (2005),0.5,1,Action|Horror|Sci-Fi|Thriller
Alone in the Dark II (2008),3.5,1,Action|Horror
Along Came Polly (2004),3.0416666666666665,24,Comedy|Romance
Along Came a Spider (2001),3.1470588235294117,17,Action|Crime|Mystery|Thriller
Alpha (2018),4.5,1,Adventure|Thriller
Alpha Dog (2007),3.125,8,Crime|Drama
Alpha and Omega 3: The Great Wolf Games (2014),4.5,1,Action|Adventure|Animation|Children|Comedy
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",4.125,4,Drama|Mystery|Romance|Sci-Fi|Thriller
Altered (2006),3.0,1,Horror|Sci-Fi|Thriller
Altered States (1980),3.5714285714285716,7,Drama|Sci-Fi
Alvarez Kelly (1966),3.0,1,Western
Alvin and the Chipmunks (2007),1.5,3,Children|Comedy
Alvin and the Chipmunks: Chipwrecked (2011),1.0,2,Animation|Comedy
Alvin and the Chipmunks: The Squeakquel (2009),2.6666666666666665,3,Animation|Children|Comedy|Musical
Always (1989),2.8333333333333335,6,Drama|Fantasy|Romance
Always Watching: A Marble Hornets Story (2015),2.0,1,Horror
Amadeus (1984),4.184210526315789,76,Drama
Amanda Knox (2016),3.5,1,Documentary
Amarcord (1973),4.0,2,Comedy|Drama
Amateur (1994),2.0,1,Crime|Drama|Thriller
Amazing Grace (2006),3.0,1,Drama|Romance
Amazing Grace and Chuck (1987),4.0,1,Drama
"Amazing Panda Adventure, The (1995)",3.3333333333333335,3,Adventure|Children
"Amazing Spider-Man, The (2012)",3.25,30,Action|Adventure|Sci-Fi|IMAX
"Amazing Transparent Man, The (1960)",3.5,1,Sci-Fi
Amazon Women on the Moon (1987),4.25,2,Comedy|Sci-Fi
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.183333333333334,120,Comedy|Romance
Amen. (2002),3.8333333333333335,3,Drama
Amer (2009),0.5,1,Drama|Horror
America's Sweethearts (2001),2.5833333333333335,18,Comedy|Romance
"American Astronaut, The (2001)",2.5,1,Comedy|Musical|Sci-Fi
American Beauty (1999),4.056372549019608,204,Drama|Romance
American Buffalo (1996),1.5,1,Crime|Drama
"American Carol, An (2008)",2.0,1,Comedy|Fantasy
American Dreamz (2006),3.0,1,Comedy|Drama
American Drug War: The Last White Hope (2007),3.0,1,Crime|Documentary
American Fable (2017),2.5,1,Thriller
American Flyers (1985),3.5,2,Drama
"American Friend, The (Amerikanische Freund, Der) (1977)",5.0,1,Crime|Drama|Mystery|Thriller
American Gangster (2007),3.9054054054054053,37,Crime|Drama|Thriller
American Gigolo (1980),2.6875,8,Drama
American Graffiti (1973),3.8488372093023258,43,Comedy|Drama
American Grindhouse (2010),4.0,1,Documentary
American Hardcore (2006),3.5,1,Documentary
"American Haunting, An (2005)",1.5,2,Drama|Horror|Mystery|Thriller
American Heist (2015),1.5,1,Action
American History X (1998),4.217054263565892,129,Crime|Drama
American Hustle (2013),3.25,16,Crime|Drama
American Made (2017),4.5,2,Crime|Thriller
American Me (1992),2.5,3,Drama
American Movie (1999),3.75,6,Documentary
American Ninja (1985),2.5,2,Action|Adventure
American Outlaws (2001),2.125,4,Action|Comedy|Western
American Pie (1999),3.378640776699029,103,Comedy|Romance
American Pie 2 (2001),3.066666666666667,45,Comedy
American Pie Presents Beta House (American Pie 6: Beta House) (2007),2.75,2,Comedy
American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006),1.1666666666666667,3,Comedy|Romance
American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005),2.142857142857143,7,Comedy
American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009),2.1666666666666665,3,Comedy
American Pop (1981),3.5,2,Animation|Musical
"American President, The (1995)",3.6714285714285713,70,Comedy|Drama|Romance
American Psycho (2000),3.788135593220339,59,Crime|Horror|Mystery|Thriller
