CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Actual,Churn Probability,Risk Level
6032-IGALN,1,United States,California,Granite Bay,95746,"38.749466, -121.184196",38.749466,-121.184196,Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.1,25.1,Yes,1,79,4769,Service dissatisfaction,1,0.9957072898566343,High
7299-GNVPL,1,United States,California,El Portal,95318,"37.654551, -119.822984",37.654551,-119.822984,Female,No,Yes,Yes,23,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,84.4,1936.85,No,0,54,2177,No churn,0,0.001566650325161121,Low
5312-IRCFR,1,United States,California,Nice,95464,"39.12334, -122.838198",39.12334,-122.838198,Female,No,Yes,Yes,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,92.85,5980.75,No,0,58,5206,No churn,0,0.0016765840151584874,Low
1196-AMORA,1,United States,California,Big Creek,93605,"37.17277, -119.2997",37.17277,-119.2997,Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,73.6,520.0,Yes,1,87,2679,Competitor offered more data,1,0.9960168975912115,High
2402-TAIRZ,1,United States,California,Los Angeles,90012,"34.065875, -118.238728",34.065875,-118.238728,Female,No,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,80.05,3019.1,No,0,55,3364,No churn,0,0.0029001637612181535,Low
1240-HCBOH,1,United States,California,Windsor,95492,"38.527297, -122.810044",38.527297,-122.810044,Female,No,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.1,1759.55,No,0,42,6466,No churn,0,0.00033898139730675664,Low
9391-TTOYH,1,United States,California,Oakland,94611,"37.828416, -122.216005",37.828416,-122.216005,Female,No,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.5,470.2,No,0,42,5652,No churn,0,0.0016239817431164714,Low
8945-GRKHX,1,United States,California,Santa Barbara,93110,"34.437945, -119.77191",34.437945,-119.77191,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,78.65,78.65,Yes,1,81,2728,Competitor had better devices,1,0.9962422370648888,High
0315-LVCRK,1,United States,California,El Dorado Hills,95762,"38.684437, -121.055634",38.684437,-121.055634,Male,No,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,84.8,888.75,No,0,60,4924,No churn,0,0.006643787143736385,Low
9172-ANCRX,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Female,No,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,973.25,Yes,1,68,5561,Attitude of support person,1,0.9960673415813751,High
7795-CFOCW,1,United States,California,Los Angeles,90004,"34.076259, -118.310715",34.076259,-118.310715,Male,No,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,66,4307,No churn,0,0.0010800857959693026,Low
7208-PSIHR,1,United States,California,Klamath,95548,"41.572813, -124.035011",41.572813,-124.035011,Female,No,Yes,No,70,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.3,7188.5,No,0,70,5583,No churn,0,0.0018041537016102098,Low
7995-ZHHNZ,1,United States,California,Fullerton,92832,"33.868316, -117.929029",33.868316,-117.929029,Male,No,Yes,No,42,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),56.1,2386.85,No,0,69,5904,No churn,0,0.0015769204537887291,Low
9522-BNTHX,1,United States,California,Caliente,93518,"35.358953, -118.527064",35.358953,-118.527064,Female,Yes,No,No,34,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,56.25,1765.95,No,0,32,5597,No churn,0,0.004110865683865687,Low
0484-FFVBJ,1,United States,California,Fort Bragg,95437,"39.455555, -123.683979",39.455555,-123.683979,Male,No,No,No,32,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),64.85,2010.95,No,0,29,4895,No churn,0,0.0026427549816935405,Low
5474-LAMUQ,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,Male,No,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,533.9,No,0,69,5689,No churn,0,0.0013731336681387174,Low
9837-FWLCH,1,United States,California,Palm Springs,92262,"33.839989, -116.659215",33.839989,-116.659215,Male,No,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.2,239.0,No,0,73,3101,No churn,0,0.0018554919022930102,Low
7167-PCEYD,1,United States,California,Ridgecrest,93555,"35.603913, -117.67828",35.603913,-117.67828,Male,No,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.8,1311.3,No,0,75,4260,No churn,0,0.0002985155685383906,Low
9944-HKVVB,1,United States,California,King City,93930,"36.220761, -120.980777",36.220761,-120.980777,Female,No,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,307.4,Yes,1,77,5861,Competitor offered higher download speeds,1,0.9966560728308199,High
0440-QEXBZ,1,United States,California,Mojave,93501,"35.097323, -118.171288",35.097323,-118.171288,Female,No,No,No,44,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,2139.1,No,0,42,5790,No churn,0,0.0019456377028800687,Low
7251-XFOIL,1,United States,California,Coulterville,95311,"37.722127, -120.110174",37.722127,-120.110174,Female,No,No,No,61,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.2,5500.6,No,0,23,5536,No churn,0,0.002261565227684696,Low
4518-FZBSX,1,United States,California,Coulterville,95311,"37.722127, -120.110174",37.722127,-120.110174,Male,No,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.25,854.9,No,0,64,4439,No churn,0,0.0004249801382241431,Low
9339-FIIJL,1,United States,California,Avenal,93204,"35.916943, -120.129921",35.916943,-120.129921,Male,No,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),85.95,6151.9,No,0,62,6450,No churn,0,0.0009243724622930789,Low
4361-JEIVL,1,United States,California,Greenfield,93927,"36.248708, -121.386617",36.248708,-121.386617,Male,No,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.4,44.4,Yes,1,82,4067,Attitude of service provider,1,0.9925313602590248,High
2821-WARNZ,1,United States,California,Buena Park,90620,"33.845706, -118.012204",33.845706,-118.012204,Female,No,No,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.45,921.3,No,0,34,4170,No churn,0,0.0002878781194122648,Low
6633-MPWBS,1,United States,California,Woodland,95776,"38.694081, -121.694431",38.694081,-121.694431,Male,No,No,No,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.2,216.9,Yes,1,73,4336,Competitor offered more data,1,0.9945992196879885,High
3481-JHUZH,1,United States,California,Forks Of Salmon,96031,"41.232128, -123.194748",41.232128,-123.194748,Male,No,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,3439.0,No,0,49,5757,No churn,0,0.004850878920119228,Low
8625-AZYZY,1,United States,California,Anza,92539,"33.527605, -116.666551",33.527605,-116.666551,Male,No,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.65,2542.45,Yes,1,72,4734,Competitor made better offer,1,0.996331652364767,High
4877-EVATK,1,United States,California,Elk,95432,"39.108252, -123.645121",39.108252,-123.645121,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,20.0,Yes,1,83,3657,Competitor offered more data,1,0.989772150196516,High
4695-WJZUE,1,United States,California,Irvine,92606,"33.703976, -117.824172",33.703976,-117.824172,Female,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.55,179.25,Yes,1,80,3685,Attitude of support person,1,0.9971738159477725,High
6807-SIWJI,1,United States,California,Groveland,95321,"37.902968, -119.667544",37.902968,-119.667544,Male,No,No,No,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.85,3887.25,No,0,35,2709,No churn,0,0.004253842016554459,Low
4140-WJAWW,1,United States,California,Los Angeles,90071,"34.052917, -118.255178",34.052917,-118.255178,Female,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.85,108.05,Yes,1,99,3799,Product dissatisfaction,1,0.9878609429175459,High
1577-HKTFG,1,United States,California,Elk Grove,95624,"38.434138, -121.30587",38.434138,-121.30587,Female,No,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.65,655.85,Yes,1,79,2486,Network reliability,1,0.975773804472386,High
1228-FZFRV,1,United States,California,Los Angeles,90007,"34.027337, -118.28515",34.027337,-118.28515,Male,No,Yes,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),105.95,5341.8,Yes,1,79,5536,Extra data charges,1,0.9908921534651186,High
6711-FLDFB,1,United States,California,Big Oak Flat,95305,"37.818589, -120.256995",37.818589,-120.256995,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,541.15,Yes,1,68,5159,Competitor had better devices,1,0.9964679566624511,High
7727-SHVZV,1,United States,California,Chico,95926,"39.745712, -121.84333",39.745712,-121.84333,Female,No,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.5,150.35,No,0,54,4883,No churn,0,0.002073042462607124,Low
5982-PSMKW,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Female,No,Yes,Yes,23,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),91.1,2198.3,No,0,71,5991,No churn,0,0.0013048389098305015,Low
1897-OKVMW,1,United States,California,Lathrop,95330,"37.80821, -121.308401",37.80821,-121.308401,Female,No,Yes,Yes,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.6,5817.45,No,0,43,5240,No churn,0,0.0006041833445663792,Low
0731-EBJQB,1,United States,California,Downey,90240,"33.956228, -118.120993",33.956228,-118.120993,Female,No,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,26,5482,No churn,0,0.0007972304595793807,Low
8861-HGGKB,1,United States,California,San Diego,92115,"32.762506, -117.07245",32.762506,-117.07245,Female,No,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,86.45,830.85,Yes,1,80,5699,Product dissatisfaction,1,0.9959240308302516,High
6599-GZWCM,1,United States,California,San Jose,95129,"37.305622, -122.000887",37.305622,-122.000887,Female,No,No,No,13,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,74.65,966.25,No,0,40,4172,No churn,0,0.004438467661922908,Low
8777-PVYGU,1,United States,California,Burson,95225,"38.183918, -120.898817",38.183918,-120.898817,Female,No,Yes,No,52,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,64.3,3410.6,No,0,73,4405,No churn,0,0.001375190189576693,Low
6078-VESFR,1,United States,California,Vista,92084,"33.22784, -117.200024",33.22784,-117.200024,Male,Yes,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.45,849.1,No,0,53,5225,No churn,0,0.005400213756288236,Low
9501-UKKNL,1,United States,California,Diamond Bar,91765,"33.992416, -117.807874",33.992416,-117.807874,Male,No,No,No,59,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,51.7,3005.8,No,0,30,6107,No churn,0,0.0019527518003659495,Low
1271-UODNO,1,United States,California,San Jose,95118,"37.255479, -121.889838",37.255479,-121.889838,Male,No,No,No,39,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),53.85,2200.7,No,0,79,2380,No churn,0,0.0014951058066661662,Low
0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,1,0.9893848533334236,High
1029-QFBEN,1,United States,California,San Luis Obispo,93405,"35.236549, -120.727344",35.236549,-120.727344,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,19.55,Yes,1,66,3556,Competitor offered more data,1,0.9897697851653149,High
5324-KTGCG,1,United States,California,Emeryville,94608,"37.83726, -122.287648",37.83726,-122.287648,Male,No,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.85,1539.75,No,0,67,4837,No churn,0,0.00039433173335241914,Low
9506-UXUSK,1,United States,California,San Jose,95116,"37.350284, -121.852855",37.350284,-121.852855,Male,No,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,931.75,No,0,30,4599,No churn,0,0.007012787499517951,Low
1702-CCFNJ,1,United States,California,Los Angeles,90077,"34.102084, -118.451629",34.102084,-118.451629,Male,No,Yes,No,52,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.35,3169.55,No,0,49,4729,No churn,0,0.0013917067554055005,Low
6620-HVDUJ,1,United States,California,Fresno,93701,"36.749403, -119.787574",36.749403,-119.787574,Male,No,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.45,1440.75,No,0,56,5095,No churn,0,0.0018348150978682485,Low
4713-ZBURT,1,United States,California,Brisbane,94005,"37.684694, -122.40712",37.684694,-122.40712,Male,No,No,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),99.7,4634.35,No,0,38,3333,No churn,0,0.0013976481331102442,Low
9555-SAHUZ,1,United States,California,Kernville,93238,"35.852892, -118.397782",35.852892,-118.397782,Female,No,Yes,Yes,38,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,54.5,2076.05,No,0,23,5499,No churn,0,0.001104022202417592,Low
5922-ABDVO,1,United States,California,Seal Beach,90740,"33.75462, -118.071128",33.75462,-118.071128,Female,No,Yes,No,19,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.65,1761.05,Yes,1,74,3046,Attitude of support person,1,0.9945719411458043,High
0455-ENTCR,1,United States,California,Jamestown,95327,"37.84771, -120.486589",37.84771,-120.486589,Male,No,Yes,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,85.25,5538.35,No,0,38,5012,No churn,0,0.0011079788800468842,Low
7691-XVTZH,1,United States,California,Aromas,95004,"36.878364, -121.629781",36.878364,-121.629781,Female,No,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),89.95,5974.3,No,0,64,5672,No churn,0,0.0016765910296040092,Low
9821-POOTN,1,United States,California,Fresno,93711,"36.833002, -119.82947",36.833002,-119.82947,Male,No,Yes,No,35,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.2,2576.2,Yes,1,94,4639,Price too high,1,0.994480460902131,High
2325-NBPZG,1,United States,California,Novato,94949,"38.067204, -122.524004",38.067204,-122.524004,Female,No,No,No,3,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.55,233.65,No,0,58,5125,No churn,0,0.006887634218583018,Low
0674-EYYZV,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,Female,No,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.65,54.65,No,0,74,5882,No churn,0,0.007035535530693852,Low
5219-YIPTK,1,United States,California,Trinidad,95570,"41.162295, -124.027381",41.162295,-124.027381,Female,No,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,3409.6,Yes,1,71,3185,Service dissatisfaction,1,0.9954934292259148,High
6599-CEBNN,1,United States,California,Desert Hot Springs,92240,"33.948558, -116.516976",33.948558,-116.516976,Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,Yes,1,94,5795,Long distance charges,1,0.9909119000424824,High
8590-OHDIW,1,United States,California,Garden Grove,92843,"33.764018, -117.931507",33.764018,-117.931507,Female,No,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.3,749.35,No,0,51,4686,No churn,0,0.0004556375920407949,Low
2368-GAKKQ,1,United States,California,Sylmar,91342,"34.321621, -118.399841",34.321621,-118.399841,Female,No,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.65,7939.25,No,0,75,6424,No churn,0,0.0014704988696550782,Low
9190-MFJLN,1,United States,California,Vallecito,95251,"38.055562, -120.456298",38.055562,-120.456298,Male,Yes,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.9,1777.9,Yes,1,68,2851,Competitor had better devices,1,0.9951931730653744,High
6551-ZCOTS,1,United States,California,Torrance,90503,"33.840399, -118.353714",33.840399,-118.353714,Male,Yes,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.9,847.8,No,0,52,5756,No churn,0,0.0012911689924964779,Low
6173-ITPWD,1,United States,California,Heber,92249,"32.730583, -115.501083",32.730583,-115.501083,Male,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.35,4065.0,Yes,1,98,2516,Product dissatisfaction,1,0.9911965397887247,High
3128-YOVTD,1,United States,California,Forbestown,95941,"39.531028, -121.24807",39.531028,-121.24807,Female,No,Yes,Yes,51,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.15,4018.55,No,0,64,6321,No churn,0,0.001171884442057561,Low
6439-PKTRR,1,United States,California,San Diego,92121,"32.898613, -117.202937",32.898613,-117.202937,Female,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,80.7,5617.95,No,0,49,4412,No churn,0,0.0004622831718778556,Low
5666-MBJPT,1,United States,California,Bakersfield,93304,"35.339796, -119.023552",35.339796,-119.023552,Male,No,No,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.1,1725.0,No,0,46,5449,No churn,0,0.0003721541808821441,Low
7409-JURKQ,1,United States,California,Temple City,91780,"34.101608, -118.055848",34.101608,-118.055848,Female,No,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),111.8,5809.75,No,0,28,5713,No churn,0,0.0029740438718065653,Low
1091-SOZGA,1,United States,California,La Palma,90623,"33.850504, -118.039892",33.850504,-118.039892,Female,No,Yes,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,0,43,4606,No churn,0,0.00321658724175424,Low
7000-WCEVQ,1,United States,California,Wrightwood,92397,"34.358321, -117.618263",34.358321,-117.618263,Female,Yes,No,No,20,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,61.6,1174.35,Yes,1,85,3866,Long distance charges,1,0.9931918157533195,High
