sku,salesdate,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_3_price,comp_4_price,comp_5_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price
Binder Dividers SKU 1,2/28/2022,19.79,60,1187,253,396,178,0,360,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/1/2022,20.49,82,1680,345,541,252,0,542,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/2/2022,20.79,42,873,177,277,131,0,288,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/3/2022,19.59,73,1430,307,482,214,0,427,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/4/2022,20.49,61,1250,257,403,188,0,402,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/5/2022,20.99,16,336,67,106,50,0,113,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/6/2022,20.99,25,525,105,165,79,0,176,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/7/2022,20.69,58,1200,244,383,180,0,393,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/8/2022,20.49,68,1393,286,449,209,0,449,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/9/2022,20.69,64,1324,269,422,199,0,434,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/10/2022,20.69,61,1262,257,403,189,130,283,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/11/2022,20.59,66,1359,278,436,204,79,362,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/12/2022,20.89,20,418,84,132,63,89,50,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/13/2022,20.99,15,315,63,99,47,85,21,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/14/2022,20.59,52,1071,219,343,161,107,241,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/15/2022,20.79,51,1060,215,337,159,110,239,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/16/2022,20.69,36,745,152,238,112,99,144,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/17/2022,20.19,43,868,181,284,130,80,193,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/18/2022,20.89,36,752,152,238,113,41,208,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/19/2022,20.29,16,325,67,106,49,45,58,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/20/2022,20.89,4,84,17,26,13,46,-18,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/21/2022,20.89,29,606,122,191,91,86,116,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/22/2022,20.59,44,906,185,290,136,84,211,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/23/2022,20.29,27,548,114,178,82,92,82,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/24/2022,20.19,51,1030,215,337,154,83,241,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/25/2022,19.99,33,660,139,218,99,36,168,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/26/2022,20.49,7,143,29,46,21,42,5,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/27/2022,20.49,8,164,34,53,25,45,7,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/28/2022,19.89,38,756,160,251,113,81,151,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/29/2022,19.79,51,1009,215,337,151,100,206,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/30/2022,19.89,51,1014,215,337,152,119,191,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,3/31/2022,19.59,77,1508,324,508,226,127,323,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/1/2022,19.79,57,1128,240,376,169,118,225,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/2/2022,19.99,38,760,160,251,114,67,168,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/3/2022,19.99,20,400,84,132,60,91,33,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/4/2022,19.89,46,915,194,304,137,146,134,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/5/2022,19.89,98,1949,413,647,292,162,435,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/6/2022,19.79,89,1761,375,587,264,192,343,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/7/2022,19.89,75,1492,316,495,224,183,274,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/8/2022,19.89,61,1213,257,403,182,158,213,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/9/2022,19.89,30,597,126,198,90,92,91,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/10/2022,19.99,11,220,46,73,33,57,11,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/11/2022,19.79,71,1405,299,469,211,187,239,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/12/2022,19.89,79,1571,333,521,236,206,275,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/13/2022,19.79,97,1920,408,640,288,231,353,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/14/2022,19.39,81,1571,341,535,236,229,230,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/15/2022,19.79,79,1563,333,521,234,124,351,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/16/2022,19.99,23,460,97,152,69,75,67,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/17/2022,19.99,14,280,59,92,42,54,33,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,4/18/2022,19.79,86,1702,362,568,255,215,302,20.98,,,,,20.98,20.98,2445,15.99,22.99
Binder Dividers SKU 1,4/19/2022,19.89,115,2287,484,759,343,259,442,20.98,,,,,20.98,20.98,2445,15.99,22.99
Binder Dividers SKU 1,4/20/2022,19.79,117,2315,493,772,347,247,456,20.98,,,,,20.98,20.98,3136,15.99,22.99
Binder Dividers SKU 1,4/21/2022,19.29,113,2180,476,746,327,270,361,20.98,,,,,20.98,20.98,3087,15.99,22.99
Binder Dividers SKU 1,4/22/2022,19.79,94,1860,396,620,279,211,354,20.98,,,,,20.98,20.98,2997,15.99,22.99
Binder Dividers SKU 1,4/23/2022,19.89,29,577,122,191,87,106,71,20.98,,,,,20.98,20.98,2900,15.99,22.99
Binder Dividers SKU 1,4/24/2022,19.89,30,597,126,198,90,102,81,20.98,,,,,20.98,20.98,3281,15.99,22.99
Binder Dividers SKU 1,4/25/2022,19.69,109,2146,459,719,322,236,410,20.98,,,,,20.98,20.98,3228,15.99,22.99
Binder Dividers SKU 1,4/26/2022,19.79,184,3641,775,1214,546,311,795,20.98,,,,,20.98,20.98,3177,15.99,22.99
Binder Dividers SKU 1,4/27/2022,20.59,135,2780,568,891,417,287,617,20.98,,,,,20.98,20.98,3101,15.99,22.99
Binder Dividers SKU 1,4/28/2022,20.59,124,2553,522,818,383,283,547,20.98,,,,,20.98,20.98,3027,15.99,22.99
Binder Dividers SKU 1,4/29/2022,20.79,60,1247,253,396,187,190,221,20.98,,,,,20.98,20.98,2868,15.99,22.99
Binder Dividers SKU 1,4/30/2022,19.89,21,418,88,139,63,74,54,20.98,,,,,20.98,20.98,2727,15.99,22.99
Binder Dividers SKU 1,5/1/2022,20.99,29,609,122,191,91,125,80,20.98,,,,,20.98,20.98,2611,15.99,22.99
Binder Dividers SKU 1,5/2/2022,20.79,116,2412,488,766,362,256,540,20.98,,,,,20.98,20.98,2527,15.99,22.99
Binder Dividers SKU 1,5/3/2022,20.79,134,2786,564,884,418,278,642,20.98,,,,,20.98,20.98,2498,15.99,22.99
Binder Dividers SKU 1,5/4/2022,20.89,151,3154,636,997,473,307,741,20.98,,,,,20.98,20.98,2427,15.99,22.99
Binder Dividers SKU 1,5/5/2022,20.69,125,2586,526,825,388,248,599,20.98,,,,,20.98,20.98,2353,15.99,22.99
Binder Dividers SKU 1,5/6/2022,20.79,98,2037,413,647,306,238,433,20.98,,,,,20.98,20.98,2225,15.99,22.99
Binder Dividers SKU 1,5/7/2022,20.89,24,501,101,158,75,60,107,20.98,,,,,20.98,20.98,1996,15.99,22.99
Binder Dividers SKU 1,5/8/2022,20.89,17,355,72,112,53,59,59,20.98,,,,,20.98,20.98,1882,15.99,22.99
Binder Dividers SKU 1,5/9/2022,18.99,151,2867,636,997,430,248,556,20.98,,,,,20.98,20.98,3040,15.99,22.99
Binder Dividers SKU 1,5/10/2022,20.79,109,2266,459,719,340,293,455,20.98,,,,,20.98,20.98,2984,15.99,22.99
Binder Dividers SKU 1,5/11/2022,20.79,108,2245,455,713,337,302,438,20.98,,,,,20.98,20.98,2892,15.99,22.99
Binder Dividers SKU 1,5/12/2022,20.79,120,2495,505,792,374,297,527,20.98,,,,,20.98,20.98,2835,15.99,22.99
Binder Dividers SKU 1,5/13/2022,20.89,57,1191,240,376,179,160,236,20.98,,,,,20.98,20.98,2703,15.99,22.99
Binder Dividers SKU 1,5/14/2022,20.99,17,357,72,112,54,76,43,20.98,,,,,20.98,20.98,2602,15.99,22.99
Binder Dividers SKU 1,5/15/2022,20.99,33,693,139,218,104,75,157,20.98,,,,,20.98,20.98,2501,15.99,22.99
Binder Dividers SKU 1,5/16/2022,20.59,95,1956,400,627,293,160,476,20.98,,,,,20.98,20.98,2456,15.99,22.99
Binder Dividers SKU 1,5/17/2022,20.69,109,2255,459,719,338,223,516,20.98,,,,,20.98,20.98,2418,15.99,22.99
Binder Dividers SKU 1,5/18/2022,20.79,92,1913,387,607,287,217,415,20.98,,,,,20.98,20.98,2340,15.99,22.99
Binder Dividers SKU 1,5/19/2022,20.29,182,3693,766,1201,554,249,923,20.98,,,,,20.98,20.98,2268,15.99,22.99
Binder Dividers SKU 1,5/20/2022,20.69,103,2131,434,680,320,147,550,20.98,,,,,20.98,20.98,2163,15.99,22.99
Binder Dividers SKU 1,5/21/2022,20.99,6,126,25,40,19,66,-24,20.98,,,,,20.98,20.98,2090,15.99,22.99
Binder Dividers SKU 1,5/22/2022,20.99,16,336,67,106,50,69,44,20.98,,,,,20.98,20.98,2641,15.99,22.99
Binder Dividers SKU 1,5/23/2022,20.59,78,1606,328,515,241,180,342,20.98,,,,,20.98,20.98,3016,15.99,22.99
Binder Dividers SKU 1,5/24/2022,20.29,135,2739,568,891,411,280,589,20.98,,,,,20.98,20.98,2939,15.99,22.99
Binder Dividers SKU 1,5/25/2022,20.69,67,1386,282,442,208,246,208,20.98,,,,,20.98,20.98,2884,15.99,22.99
Binder Dividers SKU 1,5/26/2022,20.69,80,1655,337,528,248,163,379,20.98,,,,,20.98,20.98,2848,15.99,22.99
Binder Dividers SKU 1,5/27/2022,20.49,56,1147,236,370,172,112,257,20.98,,,,,20.98,20.98,2754,15.99,22.99
Binder Dividers SKU 1,5/28/2022,20.99,2,42,8,13,6,43,-28,20.98,,,,,20.98,20.98,2634,15.99,22.99
Binder Dividers SKU 1,5/29/2022,20.89,9,188,38,59,28,26,37,20.98,,,,,20.98,20.98,2546,15.99,22.99
Binder Dividers SKU 1,5/30/2022,20.89,15,313,63,99,47,56,48,20.98,,,,,20.98,20.98,2506,15.99,22.99
Binder Dividers SKU 1,5/31/2022,20.49,87,1783,366,574,267,108,468,20.98,,,,,20.98,20.98,2490,15.99,22.99
Binder Dividers SKU 1,6/1/2022,20.79,54,1123,227,356,168,96,276,20.98,,,,,20.98,20.98,2422,15.99,22.99
Binder Dividers SKU 1,6/2/2022,20.09,106,2130,446,700,320,110,554,20.98,,,,,20.98,20.98,2394,15.99,22.99
Binder Dividers SKU 1,6/3/2022,20.79,31,644,131,205,97,62,149,20.98,,,,,20.98,20.98,2531,15.99,22.99
Binder Dividers SKU 1,6/4/2022,20.99,13,273,55,86,41,40,51,20.98,,,,,20.98,20.98,2484,15.99,22.99
Binder Dividers SKU 1,6/5/2022,20.99,18,378,76,119,57,49,77,20.98,,,,,20.98,20.98,2459,15.99,22.99
Binder Dividers SKU 1,6/6/2022,20.79,33,686,139,218,103,66,160,20.98,,,,,20.98,20.98,2437,15.99,22.99
Binder Dividers SKU 1,6/7/2022,20.79,34,707,143,224,106,118,116,20.98,,,,,20.98,20.98,2384,15.99,22.99
Binder Dividers SKU 1,6/8/2022,20.69,42,869,177,277,130,135,150,20.98,,,,,20.98,20.98,2336,15.99,22.99
Binder Dividers SKU 1,6/9/2022,20.79,42,873,177,277,131,134,154,20.98,,,,,20.98,20.98,2272,15.99,22.99
Binder Dividers SKU 1,6/10/2022,20.69,39,807,164,257,121,56,209,20.98,,,,,20.98,20.98,2247,15.99,22.99
Binder Dividers SKU 1,6/11/2022,20.99,7,147,29,46,22,30,20,20.98,,,,,20.98,20.98,2211,15.99,22.99
Binder Dividers SKU 1,6/12/2022,20.89,6,125,25,40,19,33,8,20.98,,,,,20.98,20.98,2180,15.99,22.99
Binder Dividers SKU 1,6/13/2022,20.59,53,1091,223,350,164,91,263,20.98,,,,,20.98,20.98,3142,15.99,22.99
Binder Dividers SKU 1,6/14/2022,20.29,58,1177,244,383,177,112,261,20.98,,,,,20.98,20.98,3107,15.99,22.99
Binder Dividers SKU 1,6/15/2022,20.29,67,1359,282,442,204,90,341,20.98,,,,,20.98,20.98,3079,15.99,22.99
Binder Dividers SKU 1,6/16/2022,19.79,44,871,185,290,131,91,174,20.98,,,,,20.98,20.98,3023,15.99,22.99
Binder Dividers SKU 1,6/17/2022,19.59,30,588,126,198,88,70,106,20.98,,,,,20.98,20.98,2977,15.99,22.99
Binder Dividers SKU 1,6/18/2022,19.99,8,160,34,53,24,30,19,20.98,,,,,20.98,20.98,3360,15.99,22.99
Binder Dividers SKU 1,6/19/2022,19.89,9,179,38,59,27,31,24,20.98,,,,,20.98,20.98,3417,15.99,22.99
Binder Dividers SKU 1,6/20/2022,18.69,46,860,194,304,129,74,159,20.98,,,,,20.98,20.98,3782,15.99,22.99
Binder Dividers SKU 1,6/21/2022,19.19,51,979,215,337,147,111,169,20.98,,,,,20.98,20.98,3773,15.99,22.99
Binder Dividers SKU 1,6/22/2022,18.89,43,812,181,284,122,148,77,20.98,,,,,20.98,20.98,3718,15.99,22.99
Binder Dividers SKU 1,6/23/2022,18.99,70,1329,295,462,199,141,232,20.98,,,,,20.98,20.98,3656,15.99,22.99
Binder Dividers SKU 1,6/24/2022,18.89,61,1152,257,403,173,100,219,20.98,,,,,20.98,20.98,3730,15.99,22.99
Binder Dividers SKU 1,6/25/2022,18.99,15,285,63,99,43,51,29,20.98,,,,,20.98,20.98,4023,15.99,22.99
Binder Dividers SKU 1,6/26/2022,18.99,24,456,101,158,68,51,78,20.98,,,,,20.98,20.98,3984,15.99,22.99
Binder Dividers SKU 1,6/27/2022,19.39,73,1415,307,482,212,99,315,20.98,,,,,20.98,20.98,3956,15.99,22.99
Binder Dividers SKU 1,6/28/2022,19.89,63,1253,265,416,188,170,214,20.98,,,,,20.98,20.98,3907,15.99,22.99
Binder Dividers SKU 1,6/29/2022,19.79,56,1108,236,370,166,141,195,20.98,,,,,20.98,20.98,3860,15.99,22.99
Binder Dividers SKU 1,6/30/2022,19.69,76,1496,320,502,224,170,280,20.98,,,,,20.98,20.98,3802,15.99,22.99
Binder Dividers SKU 1,7/1/2022,19.79,47,930,198,310,140,110,172,20.98,,,,,20.98,20.98,3728,15.99,22.99
Binder Dividers SKU 1,7/2/2022,19.89,13,259,55,86,39,54,25,20.98,,,,,20.98,20.98,3674,15.99,22.99
Binder Dividers SKU 1,7/3/2022,19.99,7,140,29,46,21,61,-17,20.98,,,,,20.98,20.98,3638,15.99,22.99
Binder Dividers SKU 1,7/4/2022,19.89,12,239,51,79,36,71,2,20.98,,,,,20.98,20.98,3623,15.99,22.99
Binder Dividers SKU 1,7/5/2022,19.79,71,1405,299,469,211,180,246,20.98,,,,,20.98,20.98,3573,15.99,22.99
Binder Dividers SKU 1,7/6/2022,19.79,54,1069,227,356,160,214,112,20.98,,,,,20.98,20.98,,15.99,22.99
Binder Dividers SKU 1,7/7/2022,19.59,73,1430,307,482,214,223,204,20.98,,,,,20.98,20.98,3531,15.99,22.99
Binder Dividers SKU 1,7/8/2022,19.89,94,1870,396,620,280,182,392,20.98,,,,,20.98,20.98,3482,15.99,22.99
Binder Dividers SKU 1,7/9/2022,19.89,15,298,63,99,45,81,10,20.98,,,,,20.98,20.98,3396,15.99,22.99
Binder Dividers SKU 1,7/10/2022,19.49,51,994,215,337,149,81,212,20.98,,,,,20.98,20.98,3331,15.99,22.99
Binder Dividers SKU 1,7/11/2022,19.79,70,1385,295,462,208,200,220,20.98,,,,,20.98,20.98,3308,15.99,22.99
Binder Dividers SKU 1,7/12/2022,19.59,162,3174,682,1069,476,529,418,20.98,,,,,20.98,20.98,3213,15.99,22.99
Binder Dividers SKU 1,7/13/2022,19.69,124,2442,522,818,366,411,325,20.98,,,,,20.98,20.98,3160,15.99,22.99
Binder Dividers SKU 1,7/14/2022,19.69,109,2146,459,719,322,258,388,20.98,,,,,20.98,20.98,3066,15.99,22.99
Binder Dividers SKU 1,7/15/2022,19.79,64,1267,269,422,190,173,213,20.98,,,,,20.98,20.98,3003,15.99,22.99
Binder Dividers SKU 1,7/16/2022,19.89,23,457,97,152,69,94,45,20.98,,,,,20.98,20.98,2923,15.99,22.99
Binder Dividers SKU 1,7/17/2022,19.79,31,613,131,205,92,104,81,20.98,,,,,20.98,20.98,2870,15.99,22.99
Binder Dividers SKU 1,7/18/2022,19.79,70,1385,295,462,208,247,173,20.98,,,,,20.98,20.98,2830,15.99,22.99
Binder Dividers SKU 1,7/19/2022,19.59,156,3056,657,1030,458,346,565,20.98,,,,,20.98,20.98,2707,15.99,22.99
Binder Dividers SKU 1,7/20/2022,19.79,86,1702,362,568,255,313,204,20.98,,,,,20.98,20.98,2632,15.99,22.99
Binder Dividers SKU 1,7/21/2022,19.69,122,2402,514,805,360,321,402,20.98,,,,,20.98,20.98,2518,15.99,22.99
Binder Dividers SKU 1,7/22/2022,19.79,71,1405,299,469,211,218,208,20.98,,,,,20.98,20.98,2424,15.99,22.99
Binder Dividers SKU 1,7/23/2022,19.99,21,420,88,139,63,144,-14,20.98,,,,,20.98,20.98,2345,15.99,22.99
Binder Dividers SKU 1,7/24/2022,19.99,31,620,131,205,93,158,33,20.98,,,,,20.98,20.98,2263,15.99,22.99
Binder Dividers SKU 1,7/25/2022,19.59,97,1900,408,640,285,309,258,20.98,,,,,20.98,20.98,2201,15.99,22.99
Binder Dividers SKU 1,7/26/2022,19.89,106,2108,446,700,316,373,273,20.98,,,,,20.98,20.98,2537,15.99,22.99
Binder Dividers SKU 1,7/27/2022,19.59,145,2841,610,957,426,391,457,20.98,,,,,20.98,20.98,2486,15.99,22.99
Binder Dividers SKU 1,7/28/2022,19.69,114,2245,480,752,337,412,264,20.98,,,,,20.98,20.98,2401,15.99,22.99
Binder Dividers SKU 1,7/29/2022,19.69,99,1949,417,653,292,251,336,20.98,,,,,20.98,20.98,2604,15.99,22.99
Binder Dividers SKU 1,7/30/2022,19.89,48,955,202,317,143,175,118,20.98,,,,,20.98,20.98,2467,15.99,22.99
Binder Dividers SKU 1,7/31/2022,19.99,49,980,206,323,147,243,61,20.98,,,,,20.98,20.98,2522,15.99,22.99
Binder Dividers SKU 1,8/1/2022,19.69,191,3761,804,1261,564,476,656,20.98,,,,,20.98,20.98,2457,15.99,22.99
